university_id,name,country,city_state,method,source_url
3,Australian National University - Others,AUSTRALIA,"Canberra, Australian Capital Territory",reviewed_primary_campus,
29,University Of Technology Sydney,AUSTRALIA,"Sydney, New South Wales",reviewed_primary_campus,
7,Deakin University,AUSTRALIA,"Geelong, Victoria",reviewed_primary_campus,
5,Bond University - Faculty Of Society & Design,AUSTRALIA,"Gold Coast, Queensland",reviewed_primary_campus,
28,University Of Tasmania,AUSTRALIA,"Hobart, Tasmania",reviewed_primary_campus,
2,Australian National University - College Of Arts And Social Sciences,AUSTRALIA,"Canberra, Australian Capital Territory",reviewed_primary_campus,
27,University Of Sydney,AUSTRALIA,"Sydney, New South Wales",reviewed_primary_campus,
11,La Trobe University,AUSTRALIA,"Melbourne, Victoria",reviewed_primary_campus,
9,Flinders University,AUSTRALIA,"Adelaide, South Australia",reviewed_primary_campus,
15,Royal Melbourne Institute Of Technology,AUSTRALIA,"Melbourne, Victoria",reviewed_primary_campus,
26,University Of South Australia,AUSTRALIA,"Adelaide, South Australia",reviewed_primary_campus,
4,Bond University,AUSTRALIA,"Gold Coast, Queensland",reviewed_primary_campus,
25,University Of Queensland,AUSTRALIA,"Brisbane, Queensland",reviewed_primary_campus,
6,Curtin University,AUSTRALIA,"Perth, Western Australia",reviewed_primary_campus,
14,Queensland University Of Technology,AUSTRALIA,"Brisbane, Queensland",reviewed_primary_campus,
22,University Of Melbourne (Usp),AUSTRALIA,"Melbourne, Victoria",reviewed_primary_campus,
21,University Of Melbourne,AUSTRALIA,"Melbourne, Victoria",reviewed_primary_campus,
17,The Australian National University,AUSTRALIA,"Canberra, Australian Capital Territory",reviewed_primary_campus,
24,University Of Newcastle,AUSTRALIA,"Newcastle, New South Wales",reviewed_primary_campus,
23,University Of New South Wales,AUSTRALIA,"Sydney, New South Wales",reviewed_primary_campus,
16,Swinburne University Of Technology,AUSTRALIA,"Melbourne, Victoria",reviewed_primary_campus,
19,The Australian National University - Cohass Only,AUSTRALIA,"Canberra, Australian Capital Territory",reviewed_primary_campus,
20,The University Of Western Australia,AUSTRALIA,"Perth, Western Australia",reviewed_primary_campus,
8,Edith Cowan University,AUSTRALIA,"Perth, Western Australia",reviewed_primary_campus,
18,The Australian National University - All Except Cohass,AUSTRALIA,"Canberra, Australian Capital Territory",reviewed_primary_campus,
13,Monash University,AUSTRALIA,"Melbourne, Victoria",reviewed_primary_campus,
10,Griffith University,AUSTRALIA,"Brisbane, Queensland",reviewed_primary_campus,
12,Macquarie University,AUSTRALIA,"Sydney, New South Wales",reviewed_primary_campus,
30,University Of Wollongong,AUSTRALIA,"Wollongong, New South Wales",reviewed_primary_campus,
37,Katholieke Universiteit Leuven - All (Except Nbs & Econs),BELGIUM,Leuven,reviewed_primary_campus,
38,Katholieke Universiteit Leuven - All (Except Nbs & Sss (Econs)),BELGIUM,Leuven,reviewed_primary_campus,
39,Universiti Brunei Darussalam,BRUNEI,Bandar Seri Begawan,reviewed_primary_campus,
32,Graz University Of Technology,AUSTRIA,"Graz, Styria",reviewed_primary_campus,
41,Emily Carr University Of Art + Design,CANADA,"Vancouver, British Columbia",reviewed_primary_campus,
34,University Of Applied Arts Vienna,AUSTRIA,Vienna,reviewed_primary_campus,
43,Huron University College,CANADA,"London, Ontario",reviewed_primary_campus,
44,"Mcgill University - All (Except Ccds, Coe & Nbs)",CANADA,"Montreal, Quebec",reviewed_primary_campus,
45,Mcgill University - All (Except Nbs),CANADA,"Montreal, Quebec",reviewed_primary_campus,
46,Mcgill University - All Except Nbs,CANADA,"Montreal, Quebec",reviewed_primary_campus,
47,Mcgill University - Business,CANADA,"Montreal, Quebec",reviewed_primary_campus,
48,Mcgill University - Faculty Of Engineering,CANADA,"Montreal, Quebec",reviewed_primary_campus,
49,Mcgill University - Nbs Only,CANADA,"Montreal, Quebec",reviewed_primary_campus,
50,Mcgill University - Others,CANADA,"Montreal, Quebec",reviewed_primary_campus,
51,Mcmaster University,CANADA,"Hamilton, Ontario",reviewed_primary_campus,
52,Memorial University Of Newfoundland (St. John'S Campus),CANADA,"St. John's, Newfoundland and Labrador",reviewed_primary_campus,
53,Ontario Tech University,CANADA,"Oshawa, Ontario",reviewed_primary_campus,
54,Queen'S University - Faculty Of Arts & Science,CANADA,"Kingston, Ontario",reviewed_primary_campus,
55,Queen'S University - Faculty Of Engineering & Applied Science,CANADA,"Kingston, Ontario",reviewed_primary_campus,
56,Queen'S University - Faculty Of Engineering And Applied Science,CANADA,"Kingston, Ontario",reviewed_primary_campus,
57,Queen'S University - Faculty Of Health Sciences,CANADA,"Kingston, Ontario",reviewed_primary_campus,
58,Queen'S University - School Of Business,CANADA,"Kingston, Ontario",reviewed_primary_campus,
59,Queen'S University - Smith School Of Business,CANADA,"Kingston, Ontario",reviewed_primary_campus,
60,Simon Fraser University - All (Except Nbs),CANADA,"Burnaby, British Columbia",reviewed_primary_campus,
61,Simon Fraser University - All Except Business,CANADA,"Burnaby, British Columbia",reviewed_primary_campus,
